index,Unnamed: 0,age,num_children,gender,reported_height,reported_weight,reported_pants_size_waist,reported_pants_size_inseam,bra_size_chest,bra_size_cup,age_range,shoe_size_us,ankle_circum,spine_to_scye_len,spine_to_elbow_len,arm_len_spine_wrist,arm_len_shoulder_wrist,arm_len_shoulder_elbow,scye_circum,chest_circum,chest_circum_below_bust,chest_circum_scye,jean_inseam,hand_len,hip_circum,hip_height,neck_circum_base,bideltoid_breadth,height,thigh_circum_proximal,u_crotch,waist_circum_preferred,waist_height_preferred,weight,biacromial_breadth,bicristal_breadth,bust_to_bust,cervical_height,chest_height,interscye_dist,acromion_height,acromion_radial_len,ankle_height_inside,ankle_height_outside,axilla_height,elbow_height,knee_height,radial_stylion_len,sleeve_inseam,sleeve_outseam,acromion_radial_stylion_len,shoulder_len,dataset
1592,16397.0,21.0,0.0,female,66.14,138.89,30.0,30.0,34.0,1.0,17-25,6.5,9.06,6.97,20.08,30.12,23.15,13.11,15.04,33.98,29.96,33.5,31.61,6.97,40.94,31.77,15.83,16.18,66.69,23.78,28.11,28.27,40.91,141.98,13.92,10.5,7.48,56.26,48.83,14.49,54.135,12.285,3.235,2.5,50.285,42.39,17.66,8.6,16.845,21.0,20.885,6.97,caesar
1599,16414.0,33.0,3.0,female,63.78,123.46,29.0,30.0,34.0,1.0,26-35,8.5,9.17,6.69,19.41,29.92,23.23,12.72,14.29,34.13,29.25,32.4,30.47,7.52,37.99,31.57,14.96,15.28,63.74,21.89,23.62,29.45,39.17,118.39,12.59,10.36,6.75,53.79,45.04,14.35,52.145,12.695,3.11,2.29,47.54,40.385,17.39,9.545,17.145,21.365,22.24,6.69,caesar
1601,16425.0,38.0,2.0,female,66.14,127.87,28.0,34.0,34.0,2.0,36-45,8.5,8.82,7.44,20.28,30.39,22.95,12.83,14.13,34.53,29.49,34.21,31.69,7.4,36.73,33.58,15.94,16.93,66.69,20.71,26.77,28.23,42.17,125.22,14.8,10.27,7.82,56.79,49.01,14.08,54.69,11.93,3.22,2.72,51.135,43.305,18.28,9.4,17.445,20.93,21.33,7.44,caesar
1603,16431.0,23.0,0.0,female,67.32,130.07,29.0,32.0,34.0,1.0,17-25,8.5,9.13,7.09,19.69,30.2,23.11,12.6,14.61,34.21,29.96,33.82,31.61,7.01,37.76,33.54,15.71,16.14,67.87,22.13,24.53,29.69,41.18,131.62,13.89,10.72,7.85,57.61,50.44,14.13,55.855,12.34,3.03,2.545,51.895,44.29,18.38,9.17,17.58,21.525,21.51,7.09,caesar
1611,16445.0,47.0,3.0,female,65.75,125.66,28.0,32.0,34.0,3.0,46-55,7.5,9.53,7.72,19.49,29.17,21.46,11.77,13.82,36.69,31.97,35.47,29.61,6.69,38.74,30.67,16.69,16.22,64.53,22.99,25.28,27.01,39.69,133.82,14.02,11.38,8.19,54.05,44.61,14.29,51.68,11.55,2.975,2.85,47.68,41.06,17.42,8.375,15.83,20.025,19.925,7.71,caesar
1624,16465.0,35.0,2.0,female,62.2,132.28,31.0,30.0,36.0,2.0,26-35,6.5,8.82,7.4,20.28,29.29,21.89,12.87,14.57,36.22,28.19,33.27,29.02,6.89,40.2,32.17,16.42,16.1,62.32,23.66,28.54,28.5,39.92,130.51,13.94,12.22,7.72,53.2,44.16,13.74,51.27,12.445,2.895,2.62,46.945,39.66,16.86,8.41,16.325,20.2,20.855,7.4,caesar
1646,16505.0,45.0,2.0,female,66.14,132.28,31.0,30.0,34.0,3.0,36-45,7.5,8.9,7.95,20.71,30.91,22.95,12.76,15.12,37.44,29.84,35.16,31.57,7.17,37.4,32.24,16.81,16.5,65.67,20.75,25.2,33.15,39.96,134.26,15.34,11.61,8.34,55.73,46.43,16.01,52.865,11.995,3.055,2.24,49.105,41.58,18.27,9.465,17.7,21.36,21.46,7.96,caesar
1650,16512.0,57.0,2.0,female,64.57,138.89,32.0,32.0,34.0,4.0,56-65,5.5,9.09,8.03,20.67,30.08,22.05,12.64,17.13,38.39,30.87,37.76,29.69,6.89,40.67,29.17,16.93,16.65,63.46,23.46,27.76,30.55,39.25,144.84,13.9,11.52,8.33,53.74,43.55,15.14,51.03,11.365,3.025,2.42,46.735,40.045,16.875,8.555,15.5,19.525,19.92,8.03,caesar
1655,16524.0,31.0,0.0,female,70.87,147.71,30.0,36.0,34.0,1.0,26-35,8.5,10.59,7.56,21.22,31.18,23.62,13.66,15.35,36.06,31.57,34.49,33.9,7.2,40.0,34.57,16.46,16.57,69.76,23.74,25.28,30.04,42.44,146.39,14.53,11.41,8.45,58.76,50.71,15.26,56.5,13.125,3.12,2.64,52.64,44.335,19.13,9.475,18.535,22.13,22.6,7.56,caesar
1659,16533.0,24.0,0.0,female,66.14,121.25,28.0,30.0,34.0,1.0,17-25,6.5,8.74,6.85,18.9,27.76,20.91,12.05,14.29,33.94,29.69,32.2,29.02,6.85,38.19,32.05,16.18,15.83,63.74,21.93,23.46,29.41,37.8,122.8,13.15,11.14,7.22,53.46,46.74,12.86,52.035,11.75,2.895,2.375,47.87,41.08,16.79,8.255,15.495,19.985,20.005,6.85,caesar
